<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2006.04.24	1.23710	1.24180	1.23330	1.23840	10346	0	20
2006.04.25	1.23830	1.24420	1.23660	1.24280	10449	0	20
2006.04.26	1.24290	1.24730	1.23850	1.24470	10645	0	20
2006.04.27	1.24470	1.25500	1.24030	1.25280	9974	0	20
2006.04.28	1.25270	1.26430	1.25200	1.26350	9991	0	20
2006.05.01	1.26290	1.26930	1.25550	1.25680	9102	0	20
2006.05.02	1.25670	1.26690	1.25570	1.26120	10471	0	20
2006.05.03	1.26070	1.26720	1.25900	1.26290	10398	0	20
2006.05.04	1.26310	1.27260	1.25710	1.26960	10362	0	20
2006.05.05	1.26970	1.27660	1.26720	1.27270	10090	0	20
2006.05.08	1.27440	1.27900	1.26920	1.27010	10248	0	20
2006.05.09	1.27040	1.27850	1.26600	1.27630	9675	0	20
2006.05.10	1.27620	1.28360	1.27500	1.27820	10135	0	20
2006.05.11	1.27830	1.28760	1.26840	1.28360	10095	0	20
2006.05.12	1.28380	1.29600	1.28300	1.29260	10474	0	20
2006.05.15	1.29470	1.29730	1.27780	1.28000	10040	0	20
2006.05.16	1.28000	1.28700	1.27690	1.28600	10150	0	20
2006.05.17	1.28590	1.29210	1.27010	1.27250	10642	0	20
2006.05.18	1.27290	1.28760	1.27240	1.28550	10072	0	20
2006.05.19	1.28550	1.28660	1.26920	1.27710	10082	0	20
2006.05.22	1.27630	1.28880	1.26940	1.28600	9779	0	20
2006.05.23	1.28590	1.28800	1.27830	1.27880	10078	0	20
2006.05.24	1.27850	1.28950	1.27280	1.27580	11002	0	20
2006.05.25	1.27570	1.28280	1.27480	1.28240	9881	0	20
2006.05.26	1.28260	1.28360	1.27000	1.27370	9858	0	20
2006.05.29	1.27320	1.27710	1.27180	1.27490	8909	0	20
2006.05.30	1.27500	1.29110	1.27410	1.28750	10538	0	20
2006.05.31	1.28750	1.29050	1.28030	1.28170	10710	0	20
