<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.12	1.00128	1.00457	0.99657	1.00186	106138	112343041000	9
2016.01.13	1.00195	1.01059	1.00146	1.00559	109174	106515977000	9
2016.01.14	1.00555	1.00913	1.00088	1.00466	122811	117555037000	9
2016.01.15	1.00460	1.00603	0.99574	1.00124	118898	117665763000	9
2016.01.18	1.00086	1.00724	1.00014	1.00494	64539	69732619000	9
2016.01.19	1.00498	1.00813	1.00015	1.00329	101965	109462380000	9
2016.01.20	1.00302	1.00571	0.99903	1.00347	114482	135555861000	9
2016.01.21	1.00365	1.01458	1.00120	1.00727	124295	152944538000	9
2016.01.22	1.00700	1.01651	1.00660	1.01486	97737	117479849000	9
2016.01.25	1.01485	1.01666	1.01242	1.01253	102854	124279370000	9
2016.01.26	1.01253	1.01983	1.01175	1.01657	94521	115506939000	9
2016.01.27	1.01673	1.01888	1.01298	1.01484	120654	146285762000	6
2016.01.28	1.01468	1.01770	1.01099	1.01362	113469	138755061000	9
2016.01.29	1.01361	1.02558	1.01316	1.02247	133543	140796246000	9
2016.02.01	1.02096	1.02490	1.01549	1.01940	98254	111846704000	9
2016.02.02	1.01910	1.02238	1.01698	1.01820	97264	111220976000	9
2016.02.03	1.01818	1.01937	0.99873	1.00409	132974	137605262000	9
2016.02.04	1.00408	1.00736	0.99213	0.99284	151578	151747033000	8
2016.02.05	0.99276	0.99845	0.98811	0.99048	125849	141347980000	9
2016.02.08	0.99107	0.99727	0.98406	0.98671	139410	168070822000	9
2016.02.09	0.98670	0.98737	0.96944	0.97268	162871	180179317000	9
2016.02.10	0.97272	0.98190	0.97089	0.97318	169756	199143766000	9
2016.02.11	0.97307	0.97619	0.96603	0.97218	182328	195931645000	9
2016.02.12	0.97212	0.97902	0.97136	0.97611	120654	128098666000	9
2016.02.15	0.97687	0.98888	0.97552	0.98654	97206	107819719000	9
2016.02.16	0.98654	0.98954	0.98468	0.98829	116654	137330602000	9
2016.02.17	0.98832	0.99412	0.98523	0.99223	125100	149186795000	9
2016.02.18	0.99223	0.99682	0.99038	0.99265	118720	137119991000	9
2016.02.19	0.99262	0.99671	0.98879	0.98904	107865	122787439000	9
2016.02.22	0.98851	1.00029	0.98851	0.99946	107709	124984627000	9
2016.02.23	0.99955	1.00009	0.98948	0.99120	97553	111173264000	9
2016.02.24	0.99086	0.99520	0.98521	0.98858	107804	133793998000	9
2016.02.25	0.98868	0.99519	0.98769	0.99007	97553	120872946000	9
2016.02.26	0.99013	0.99883	0.98704	0.99654	104099	126840571000	9
2016.02.29	0.99698	1.00374	0.99482	0.99798	107571	124316642000	9
2016.03.01	0.99794	1.00089	0.99596	0.99701	108954	125233043000	9
2016.03.02	0.99680	1.00085	0.99546	0.99632	112812	134865896000	9
2016.03.03	0.99601	0.99820	0.98914	0.99176	106780	122032854000	9
2016.03.04	0.99183	0.99880	0.98780	0.99230	119524	142847270000	9
2016.03.07	0.99250	1.00116	0.99232	0.99508	101164	120750178000	9
2016.03.08	0.99475	0.99699	0.99009	0.99545	93628	107566871000	9
2016.03.09	0.99566	1.00384	0.99385	0.99711	95286	117751243000	9
2016.03.10	0.99706	1.00918	0.98094	0.98493	115215	138413311000	9
2016.03.11	0.98464	0.98899	0.98025	0.98232	98557	120908542000	9
2016.03.14	0.98288	0.98809	0.98154	0.98710	83417	93100085000	9
2016.03.15	0.98723	0.98955	0.98488	0.98691	80999	106152543000	9
2016.03.16	0.98693	0.99130	0.97498	0.97800	93808	110391586000	9
2016.03.17	0.97800	0.97858	0.96502	0.96709	93898	100650289000	9
2016.03.18	0.96694	0.97166	0.96539	0.96871	86049	100126445000	9
2016.03.21	0.96968	0.97297	0.96747	0.97048	71459	81397444000	6
2016.03.22	0.97046	0.97359	0.96879	0.97284	78773	91787647000	9
2016.03.23	0.97284	0.97657	0.97251	0.97510	61111	62361125000	9
2016.03.24	0.97519	0.97728	0.97365	0.97554	75667	98151245000	9
2016.03.25	0.97554	0.97867	0.97503	0.97678	33720	43392951000	9
2016.03.28	0.97648	0.97856	0.97222	0.97381	38229	45365462000	9
2016.03.29	0.97341	0.97623	0.96573	0.96612	94813	127766661000	9
2016.03.30	0.96603	0.96696	0.95922	0.96486	95423	128475790000	9
2016.03.31	0.96467	0.96624	0.95712	0.96165	100354	133241847000	9
2016.04.01	0.96144	0.96251	0.95544	0.95759	92626	128027265000	9
2016.04.04	0.95718	0.96144	0.95687	0.95839	73110	91871483000	9
2016.04.05	0.95827	0.96040	0.95459	0.95589	90889	133319051000	9
2016.04.06	0.95578	0.96213	0.95300	0.95550	97926	148785728000	9
2016.04.07	0.95528	0.95806	0.95213	0.95540	97374	153490803000	9
2016.04.08	0.95523	0.95818	0.95169	0.95212	84692	130541169000	9
2016.04.11	0.95217	0.95700	0.95018	0.95419	82423	116100344000	9
2016.04.12	0.95338	0.95931	0.94989	0.95487	87137	119026748000	9
2016.04.13	0.95471	0.96713	0.95470	0.96666	95560	158995861000	9
2016.04.14	0.96642	0.96876	0.96370	0.96658	87929	118435700000	9
2016.04.15	0.96651	0.96874	0.96474	0.96748	78876	122807713000	9
2016.04.18	0.96427	0.96787	0.96274	0.96399	73117	78783741000	9
2016.04.19	0.96357	0.96497	0.95843	0.96164	79703	97070266000	9
2016.04.20	0.96164	0.97326	0.96022	0.97215	82720	93164232000	9
2016.04.21	0.97215	0.97518	0.96470	0.97508	97173	108973506000	9
2016.04.22	0.97482	0.97969	0.97318	0.97817	91651	109339512000	9
2016.04.25	0.97869	0.97886	0.97357	0.97495	77389	88304438000	9
2016.04.26	0.97465	0.97667	0.97011	0.97327	79965	96990721000	9
2016.04.27	0.97331	0.97526	0.96797	0.97094	86944	105979293000	9
2016.04.28	0.97070	0.97325	0.96562	0.96645	95233	106607917000	9
2016.04.29	0.96642	0.96743	0.95672	0.95917	90177	107267748000	9
2016.05.02	0.95725	0.96046	0.95342	0.95407	75680	85911569000	9
2016.05.03	0.95419	0.95536	0.94435	0.95448	101033	121331592000	9
2016.05.04	0.95399	0.95896	0.95251	0.95766	98069	111470029000	9
2016.05.05	0.95738	0.96960	0.95677	0.96761	86246	102833178000	9
2016.05.06	0.96731	0.97289	0.96429	0.97165	84896	101345506000	9
2016.05.09	0.97158	0.97353	0.96834	0.97107	73492	87193364000	9
2016.05.10	0.97092	0.97623	0.96981	0.97586	71981	89040185000	9
2016.05.11	0.97570	0.97603	0.96982	0.97079	70413	86679515000	9
2016.05.12	0.97075	0.97254	0.96629	0.97048	66022	87239428000	9
2016.05.13	0.96996	0.97738	0.96973	0.97518	71352	81308425000	9
2016.05.16	0.97419	0.97839	0.97373	0.97760	60546	75825594000	9
2016.05.17	0.97735	0.98080	0.97508	0.98026	74839	99493984000	9
2016.05.18	0.97989	0.98798	0.97979	0.98766	84991	111094980000	9
2016.05.19	0.98731	0.99220	0.98623	0.99054	79165	94913075000	9
2016.05.20	0.99037	0.99263	0.98957	0.98968	66727	88919041000	9
2016.05.23	0.98997	0.99230	0.98828	0.98935	69143	83536526000	9
2016.05.24	0.98912	0.99372	0.98889	0.99301	79195	106310180000	9
2016.05.25	0.99247	0.99347	0.98960	0.99113	76683	103206915000	9
2016.05.26	0.99075	0.99288	0.98716	0.98912	80910	111964785000	9
2016.05.27	0.98890	0.99482	0.98845	0.99461	72632	90196723000	9
2016.05.30	0.99415	0.99556	0.99192	0.99210	53624	60184036000	9
2016.05.31	0.99181	0.99506	0.98859	0.99358	83809	108335146000	9
2016.06.01	0.99377	0.99505	0.98614	0.98805	90025	113158823000	9
2016.06.02	0.98673	0.99100	0.98581	0.99039	94491	127896707000	9
2016.06.03	0.98955	0.99196	0.97533	0.97556	96469	121186489000	9
2016.06.06	0.97571	0.97754	0.96812	0.97028	83324	106143957000	9
2016.06.07	0.97026	0.97133	0.96445	0.96496	67324	89174616000	9
2016.06.08	0.96511	0.96586	0.95807	0.95906	69884	92980215000	9
2016.06.09	0.95901	0.96556	0.95775	0.96426	72173	89370328000	9
2016.06.10	0.96385	0.96572	0.96161	0.96398	79703	93137768000	9
2016.06.13	0.96328	0.96778	0.96184	0.96425	85205	117266169000	9
2016.06.14	0.96380	0.96682	0.96203	0.96317	79264	98578848000	9
2016.06.15	0.96305	0.96633	0.95906	0.96125	80070	108017687000	9
2016.06.16	0.96117	0.96862	0.95712	0.96486	113533	138233279000	9
2016.06.17	0.96486	0.96589	0.95872	0.95955	81995	100321681000	9
2016.06.20	0.96015	0.96414	0.95752	0.96154	78044	96616968000	9
2016.06.21	0.96105	0.96230	0.95716	0.96210	71559	81362887000	9
2016.06.22	0.96212	0.96275	0.95501	0.95792	73839	84582094000	9
2016.06.23	0.95792	0.96009	0.95209	0.95775	85726	88593187000	9
2016.06.24	0.95694	0.98022	0.95510	0.96904	137386	170569801000	9
2016.06.27	0.97402	0.98191	0.97049	0.97829	119885	135343732000	9
2016.06.28	0.97789	0.98367	0.97625	0.98166	90651	109476450000	9
2016.06.29	0.98119	0.98226	0.97793	0.97966	86659	104021077000	9
2016.06.30	0.97919	0.98197	0.97273	0.97597	100480	123460727000	9
2016.07.01	0.97593	0.97807	0.97098	0.97265	73472	89320082000	9
2016.07.04	0.97185	0.97581	0.97021	0.97030	46624	50967445000	9
2016.07.05	0.97026	0.97736	0.96842	0.97668	75387	86647840000	9
2016.07.06	0.97622	0.98056	0.97396	0.97469	94691	123580422000	9
2016.07.07	0.97436	0.97915	0.97403	0.97788	78022	100200834000	9
2016.07.08	0.97691	0.98651	0.97597	0.98265	76165	101906664000	9
