<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.03.25	1.48864	1.49993	1.47983	1.48109	49472	0	21
2010.03.26	1.48120	1.49231	1.48063	1.48945	53031	0	21
2010.03.29	1.49540	1.50178	1.48913	1.49775	45990	0	21
2010.03.30	1.49775	1.51250	1.49737	1.50704	48656	0	22
2010.03.31	1.50699	1.52032	1.50424	1.51769	53681	0	20
2010.04.01	1.51771	1.52974	1.51717	1.52957	50449	0	19
2010.04.02	1.52959	1.52966	1.51816	1.52063	26246	0	18
2010.04.05	1.52658	1.53181	1.52229	1.52871	28026	0	18
2010.04.06	1.52873	1.53059	1.51282	1.52633	49760	0	21
2010.04.07	1.52642	1.52848	1.51381	1.52352	47935	0	20
2010.04.08	1.52342	1.52802	1.51408	1.52792	47456	0	15
2010.04.09	1.52792	1.53901	1.52666	1.53673	48700	0	18
2010.04.12	1.54378	1.54850	1.53516	1.53604	49938	0	18
2010.04.13	1.53599	1.54483	1.53356	1.53777	47669	0	20
2010.04.14	1.53774	1.54898	1.53710	1.54667	49968	0	17
2010.04.15	1.54670	1.55218	1.53850	1.54722	51998	0	18
2010.04.16	1.54726	1.54803	1.53588	1.53615	50708	0	23
2010.04.19	1.52906	1.53413	1.51912	1.53338	51105	0	20
2010.04.20	1.53339	1.54317	1.52891	1.53784	48144	0	18
2010.04.21	1.53780	1.54385	1.53315	1.54083	51047	0	20
2010.04.22	1.54080	1.54717	1.53418	1.53863	57904	0	21
2010.04.23	1.53874	1.53961	1.52946	1.53750	57008	0	21
2010.04.26	1.53860	1.54968	1.53730	1.54553	54496	0	17
2010.04.27	1.54552	1.54828	1.52251	1.52453	58004	0	18
2010.04.28	1.52481	1.52870	1.51251	1.52028	64781	0	17
2010.04.29	1.52026	1.53433	1.51420	1.53370	58344	0	15
2010.04.30	1.53369	1.53893	1.52528	1.52708	53161	0	17
2010.05.03	1.53120	1.53145	1.52104	1.52354	42776	0	15
2010.05.04	1.52352	1.52639	1.50897	1.51333	57340	0	18
2010.05.05	1.51333	1.51723	1.50676	1.51032	63374	0	15
2010.05.06	1.51035	1.51466	1.47139	1.47766	80705	0	18
2010.05.07	1.47764	1.49342	1.44751	1.48026	103699	0	22
2010.05.10	1.48384	1.50534	1.47609	1.48552	89560	0	21
2010.05.11	1.48532	1.50033	1.47197	1.49266	84571	0	18
2010.05.12	1.49265	1.50434	1.48182	1.48281	72094	0	21
2010.05.13	1.48287	1.49160	1.45718	1.45958	60959	0	15
2010.05.14	1.45956	1.46382	1.44949	1.45346	70255	0	21
2010.05.17	1.45244	1.45408	1.42509	1.44850	140643	0	24
2010.05.18	1.44846	1.45172	1.42755	1.42801	70431	0	20
2010.05.19	1.42800	1.44650	1.42362	1.44530	46350	0	23
2010.05.20	1.44500	1.44586	1.42323	1.43509	48652	0	24
2010.05.21	1.43513	1.44950	1.43173	1.44587	70286	0	25
2010.05.24	1.44651	1.45273	1.43511	1.44032	62760	0	23
2010.05.25	1.44045	1.44474	1.42584	1.44315	60106	0	23
2010.05.26	1.44315	1.44417	1.43303	1.43753	56179	0	20
2010.05.27	1.43765	1.46058	1.43722	1.45648	69035	0	24
2010.05.28	1.45645	1.46092	1.44341	1.44562	65788	0	19
2010.05.31	1.44308	1.45468	1.44266	1.45361	45658	0	16
2010.06.01	1.45356	1.47193	1.44384	1.46411	73409	0	21
2010.06.02	1.46410	1.47690	1.45529	1.46537	76808	0	20
2010.06.03	1.46538	1.47418	1.45856	1.46189	62478	1010950000	10
2010.06.04	1.46192	1.46805	1.44525	1.44537	60841	0	17
2010.06.07	1.44183	1.45613	1.43877	1.44685	69966	0	20
2010.06.08	1.44686	1.45274	1.43456	1.44521	66974	0	20
2010.06.09	1.44522	1.46072	1.43954	1.45365	58351	0	19
2010.06.10	1.45365	1.47172	1.45084	1.46968	69943	0	21
2010.06.11	1.46965	1.47578	1.45036	1.45500	82832	0	21
2010.06.14	1.45535	1.48078	1.45501	1.47342	61462	0	15
2010.06.15	1.47342	1.48361	1.46819	1.48008	98843	49735900000	11
2010.06.16	1.48027	1.48542	1.47053	1.47175	58495	0	12
2010.06.17	1.47179	1.48365	1.46445	1.48121	62273	0	21
2010.06.18	1.48133	1.48852	1.47705	1.48223	53132	0	20
2010.06.21	1.48575	1.49352	1.47377	1.47614	67713	0	20
2010.06.22	1.47617	1.48577	1.46866	1.48031	59149	0	21
2010.06.23	1.48033	1.49724	1.48019	1.49572	47307	0	21
2010.06.24	1.49566	1.50102	1.49151	1.49217	62855	0	20
2010.06.25	1.49223	1.50756	1.48557	1.50601	52003	0	15
