<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.10.15	1.29340	1.29481	1.28314	1.28628	113708	113875086000	9
2015.10.16	1.28576	1.29390	1.28518	1.29160	105394	101706784000	9
2015.10.19	1.29041	1.30279	1.28978	1.30205	94719	93940101000	9
2015.10.20	1.30184	1.30469	1.29351	1.29765	111312	110242252000	9
2015.10.21	1.29788	1.31418	1.29681	1.31396	111731	107508793000	9
2015.10.22	1.31380	1.31592	1.30835	1.30886	132631	133316195000	9
2015.10.23	1.30903	1.31976	1.30393	1.31660	140192	141637593000	9
2015.10.26	1.31661	1.31836	1.31208	1.31585	119825	122247100000	9
2015.10.27	1.31588	1.32721	1.31548	1.32644	135813	130723236000	6
2015.10.28	1.32643	1.32794	1.30898	1.31961	143787	137628205000	9
2015.10.29	1.31942	1.32376	1.31326	1.31646	134631	145574947000	9
2015.10.30	1.31646	1.31924	1.30552	1.30741	128162	134510249000	9
2015.11.02	1.30697	1.31161	1.30633	1.30927	111541	123681112000	9
2015.11.03	1.30931	1.31647	1.30377	1.30585	139406	147349054000	9
2015.11.04	1.30580	1.31915	1.30447	1.31488	139973	147956766000	9
2015.11.05	1.31451	1.31861	1.31404	1.31672	154899	165727184000	9
2015.11.06	1.31662	1.33173	1.31568	1.33034	140614	142975721000	9
2015.11.09	1.32935	1.33097	1.32453	1.32864	130364	132372465000	6
2015.11.10	1.32775	1.32968	1.32445	1.32742	126616	132864631000	7
2015.11.11	1.32708	1.32834	1.32318	1.32623	124257	124444387000	9
2015.11.12	1.32608	1.33405	1.32239	1.32889	148826	156660621000	9
2015.11.13	1.32810	1.33488	1.32666	1.33243	124307	129626599000	9
2015.11.16	1.32985	1.33703	1.32897	1.33278	136081	147162764000	9
2015.11.17	1.33297	1.33436	1.32968	1.33211	142422	155601824000	9
2015.11.18	1.33177	1.33684	1.32978	1.33018	123668	130380945000	9
2015.11.19	1.33015	1.33133	1.32463	1.32821	140323	146468438000	9
2015.11.20	1.32827	1.33555	1.32700	1.33477	138260	136439061000	9
2015.11.23	1.33263	1.34355	1.33263	1.33646	148267	140146852000	9
2015.11.24	1.33641	1.33770	1.32839	1.33034	144053	142287024000	9
2015.11.25	1.33071	1.33387	1.32796	1.32891	142594	144281615000	9
2015.11.26	1.32877	1.33241	1.32837	1.32921	108724	97368976000	9
2015.11.27	1.32848	1.33758	1.32845	1.33669	110306	106653565000	9
2015.11.30	1.33668	1.33925	1.33119	1.33611	130302	125041302000	4
2015.12.01	1.33593	1.33965	1.33092	1.33556	153819	157185146000	6
2015.12.02	1.33580	1.34071	1.33077	1.33411	150457	151275685000	9
2015.12.03	1.33353	1.33998	1.32929	1.33540	169626	168405081000	9
2015.12.04	1.33501	1.34157	1.33172	1.33601	163565	161630781000	9
2015.12.07	1.33685	1.35233	1.33645	1.34971	125155	122621475000	9
2015.12.08	1.35017	1.36222	1.34956	1.35845	152267	147141550000	9
2015.12.09	1.35834	1.36196	1.35163	1.35779	159265	162539832000	9
2015.12.10	1.35767	1.36394	1.35317	1.36242	150434	150825946000	9
2015.12.11	1.36229	1.37576	1.36171	1.37544	128305	113891887000	9
2015.12.14	1.37146	1.37804	1.36765	1.37287	168729	158788714000	9
2015.12.15	1.37251	1.37657	1.36728	1.37333	151029	151273180000	9
2015.12.16	1.37314	1.38472	1.37278	1.37789	146074	133994262000	9
2015.12.17	1.37784	1.39862	1.37773	1.39364	141945	128127157000	9
2015.12.18	1.39337	1.40010	1.38541	1.39524	138229	124903104000	9
2015.12.21	1.39328	1.39933	1.39125	1.39569	125906	111544336000	9
2015.12.22	1.39537	1.39643	1.39155	1.39196	106855	103515734000	9
2015.12.23	1.39209	1.39365	1.38352	1.38538	103260	93055780000	9
2015.12.24	1.38452	1.38740	1.38176	1.38449	59824	51086292000	5
2015.12.28	1.38255	1.39152	1.38129	1.39039	79684	69479536000	9
2015.12.29	1.39008	1.39396	1.38155	1.38428	91921	77119017000	9
2015.12.30	1.38401	1.39268	1.38287	1.38779	105727	85266222000	9
2015.12.31	1.38745	1.39025	1.38222	1.38273	71676	63118927000	9
2016.01.04	1.38132	1.39827	1.38132	1.39504	137186	119369678000	9
2016.01.05	1.39487	1.40186	1.38976	1.39947	127121	124519484000	9
2016.01.06	1.39912	1.41083	1.39728	1.40743	149455	131044596000	9
